Game_ID,Before,Pattern,After,Full_Sequence
Game_11,BPPPP,BBBBPB,BPBPP,BPPPPBBBBPBBPBPP
Game_11,PPPBB,BBPBBP,BPPPP,PPPBBBBPBBPBPPPP
Game_11,PPBBB,BPBBPB,PPPPP,PPBBBBPBBPBPPPPP
Game_11,BBBBP,BBPBPP,PPPBB,BBBBPBBPBPPPPPBB
Game_11,BBBPB,BPBPPP,PPBBB,BBBPBBPBPPPPPBBB
Game_11,BBPBB,PBPPPP,PBBBP,BBPBBPBPPPPPBBBP
Game_11,BBPBP,PPPPBB,BPBBB,BBPBPPPPPBBBPBBB
Game_11,PBPPP,PPBBBP,BBBBB,PBPPPPPBBBPBBBBB
Game_11,PPPPB,BBPBBB,BBPPP,PPPPBBBPBBBBBPPP
Game_11,PPPBB,BPBBBB,BPPPB,PPPBBBPBBBBBPPPB
Game_11,BBBPB,BBBBPP,PB,BBBPBBBBBPPPB
Game_12,PPPBP,PPBBPB,BPPPP,PPPBPPPBBPBBPPPP
Game_12,PBPPP,BBPBBP,PPPBB,PBPPPBBPBBPPPPBB
Game_12,BPPPB,BPBBPP,PPBBB,BPPPBBPBBPPPPBBB
Game_12,PPBBP,BBPPPP,BBBBP,PPBBPBBPPPPBBBBP
Game_12,BBPBB,PPPPBB,BBPPB,BBPBBPPPPBBBBPPB
Game_12,PBBPP,PPBBBB,PPBPP,PBBPPPPBBBBPPBPP
Game_12,BPPPP,BBBBPP,BPPPP,BPPPPBBBBPPBPPPP
Game_12,PPPBB,BBPPBP,PPPBP,PPPBBBBPPBPPPPBP
Game_12,PBBBB,PPBPPP,PBPBP,PBBBBPPBPPPPBPBP
Game_12,BBBBP,PBPPPP,BPBPB,BBBBPPBPPPPBPBPB
Game_12,BBPPB,PPPPBP,BPBBB,BBPPBPPPPBPBPBBB
Game_12,PPBPP,PPBPBP,BBBBP,PPBPPPPBPBPBBBBP
Game_12,PBPPP,PBPBPB,BBBPP,PBPPPPBPBPBBBBPP
Game_12,BPPPP,BPBPBB,BBPPB,BPPPPBPBPBBBBPPB
Game_12,PPPPB,PBPBBB,BPPBB,PPPPBPBPBBBBPPBB
Game_12,PPPBP,BPBBBB,PPBBP,PPPBPBPBBBBPPBBP
Game_12,PBPBP,BBBBPP,BBPBP,PBPBPBBBBPPBBPBP
Game_12,PBPBB,BBPPBB,PBPBP,PBPBBBBPPBBPBPBP
Game_12,PBBBB,PPBBPB,PBPPB,PBBBBPPBBPBPBPPB
Game_12,BBBPP,BBPBPB,PPBPP,BBBPPBBPBPBPPBPP
Game_12,BBPPB,BPBPBP,PBPPP,BBPPBBPBPBPPBPPP
Game_12,BPPBB,PBPBPP,BPPPP,BPPBBPBPBPPBPPPP
Game_12,PPBBP,BPBPPB,PPPPB,PPBBPBPBPPBPPPPB
Game_12,PBBPB,PBPPBP,PPPBP,PBBPBPBPPBPPPPBP
Game_12,BPBPB,PPBPPP,PBPPB,BPBPBPPBPPPPBPPB
Game_12,PBPBP,PBPPPP,BPPBB,PBPBPPBPPPPBPPBB
Game_12,PBPPB,PPPPBP,PBBBP,PBPPBPPPPBPPBBBP
Game_12,PPBPP,PPBPPB,BBPPB,PPBPPPPBPPBBBPPB
Game_12,PBPPP,PBPPBB,BPPBP,PBPPPPBPPBBBPPBP
Game_12,PPPPB,PPBBBP,PBPBB,PPPPBPPBBBPPBPBB
Game_12,PBPPB,BBPPBP,BBB,PBPPBBBPPBPBBB
Game_12,PPBBB,PPBPBB,B,PPBBBPPBPBBB
Game_13,PBBPP,PBPBPB,PPBBB,PBBPPPBPBPBPPBBB
Game_13,BBPPP,BPBPBP,PBBBB,BBPPPBPBPBPPBBBB
Game_13,BPPPB,PBPBPP,BBBBP,BPPPBPBPBPPBBBBP
Game_13,PPPBP,BPBPPB,BBBPP,PPPBPBPBPPBBBBPP
Game_13,PPBPB,PBPPBB,BBPPB,PPBPBPBPPBBBBPPB
Game_13,BPBPB,PPBBBB,PPBPP,BPBPBPPBBBBPPBPP
Game_13,BPBPP,BBBBPP,BPPPP,BPBPPBBBBPPBPPPP
Game_13,BPPBB,BBPPBP,PPPPP,BPPBBBBPPBPPPPPP
Game_13,PBBBB,PPBPPP,PPPBP,PBBBBPPBPPPPPPBP
Game_13,BBBBP,PBPPPP,PPBPP,BBBBPPBPPPPPPBPP
Game_13,PPBPP,PPPPBP,PBBPP,PPBPPPPPPBPPBBPP
Game_13,BPPPP,PPBPPB,BPPPB,BPPPPPPBPPBBPPPB
Game_13,PPPPP,PBPPBB,PPPBP,PPPPPPBPPBBPPPBP
Game_13,PPPPB,PPBBPP,PBPBB,PPPPBPPBBPPPBPBB
Game_13,PPBPP,BBPPPB,PBBPP,PPBPPBBPPPBPBBPP
Game_13,PPBBP,PPBPBB,PPPBP,PPBBPPPBPBBPPPBP
Game_13,PBBPP,PBPBBP,PPBPB,PBBPPPBPBBPPPBPB
Game_13,BBPPP,BPBBPP,PBPBB,BBPPPBPBBPPPBPBB
Game_13,PPPBP,BBPPPB,PBB,PPPBPBBPPPBPBB
Game_14,BBPBP,BBPPBP,PPPBB,BBPBPBBPPBPPPPBB
Game_14,PBPBB,PPBPPP,PBBBP,PBPBBPPBPPPPBBBP
Game_14,BPBBP,PBPPPP,BBBPP,BPBBPPBPPPPBBBPP
Game_14,BBPPB,PPPPBB,BPPPP,BBPPBPPPPBBBPPPP
Game_14,PPBPP,PPBBBP,PPPBP,PPBPPPPBBBPPPPBP
Game_14,PPPPB,BBPPPP,BPPPP,PPPPBBBPPPPBPPPP
Game_14,PPBBB,PPPPBP,PPPPP,PPBBBPPPPBPPPPPP
Game_14,BBBPP,PPBPPP,PPPPP,BBBPPPPBPPPPPPPP
Game_14,BBPPP,PBPPPP,PPPPB,BBPPPPBPPPPPPPPB
Game_14,BPPPP,PPPPBB,BBBPB,BPPPPPPPPBBBBBPB
Game_14,PPPPP,PPBBBB,BPBPP,PPPPPPPBBBBBPBPP
Game_14,PPPPB,BBBBPB,PPPBP,PPPPBBBBBPBPPPBP
Game_14,PPBBB,BBPBPP,PBPPB,PPBBBBBPBPPPBPPB
Game_14,PBBBB,BPBPPP,BPPBP,PBBBBBPBPPPBPPBP
Game_14,BBBBB,PBPPPB,PPBPB,BBBBBPBPPPBPPBPB
Game_14,BBPBP,PPBPPB,PBPBP,BBPBPPPBPPBPBPBP
Game_14,BPBPP,PBPPBP,BPBPB,BPBPPPBPPBPBPBPB
Game_14,BPPPB,PPBPBP,BPBPB,BPPPBPPBPBPBPBPB
Game_14,PPPBP,PBPBPB,PBPBB,PPPBPPBPBPBPBPBB
Game_14,PPBPP,BPBPBP,BPBBP,PPBPPBPBPBPBPBBP
Game_14,PBPPB,PBPBPB,PBBP,PBPPBPBPBPBPBBP
Game_14,BPPBP,BPBPBP,BBP,BPPBPBPBPBPBBP
Game_14,PPBPB,PBPBPB,BP,PPBPBPBPBPBBP
Game_14,PBPBP,BPBPBB,P,PBPBPBPBPBBP
Game_15,PPBPP,BBPBBP,PBPBB,PPBPPBBPBBPPBPBB
Game_15,PBPPB,BPBBPP,BPBBB,PBPPBBPBBPPBPBBB
Game_15,PPBBP,BBPPBP,BBBPB,PPBBPBBPPBPBBBPB
Game_15,BBPBB,PPBPBB,BPBBP,BBPBBPPBPBBBPBBP
Game_15,BPBBP,PBPBBB,PBBPP,BPBBPPBPBBBPBBPP
Game_15,PBBPP,BPBBBP,BBPPB,PBBPPBPBBBPBBPPB
Game_15,PPBPB,BBPBBP,PBPPP,PPBPBBBPBBPPBPPP
Game_15,PBPBB,BPBBPP,BPPPB,PBPBBBPBBPPBPPPB
Game_15,PBBBP,BBPPBP,PPBPP,PBBBPBBPPBPPPBPP
Game_15,BBPBB,PPBPPP,BPPBP,BBPBBPPBPPPBPPBP
Game_15,BPBBP,PBPPPB,PPBPB,BPBBPPBPPPBPPBPB
Game_15,BPPBP,PPBPPB,PBPBB,BPPBPPPBPPBPBPBB
Game_15,PPBPP,PBPPBP,BPBBB,PPBPPPBPPBPBPBBB
Game_15,BPPPB,PPBPBP,BBBBP,BPPPBPPBPBPBBBBP
Game_15,PPPBP,PBPBPB,BBBPB,PPPBPPBPBPBBBBPB
Game_15,PPBPP,BPBPBB,BBPBP,PPBPPBPBPBBBBPBP
Game_15,PBPPB,PBPBBB,BPBPP,PBPPBPBPBBBBPBPP
Game_15,BPPBP,BPBBBB,PBPPP,BPPBPBPBBBBPBPPP
Game_15,PBPBP,BBBBPB,PPPPB,PBPBPBBBBPBPPPPB
Game_15,PBPBB,BBPBPP,PPBBB,PBPBBBBPBPPPPBBB
Game_15,BPBBB,BPBPPP,PBBBP,BPBBBBPBPPPPBBBP
Game_15,PBBBB,PBPPPP,BBBPB,PBBBBPBPPPPBBBPB
Game_15,BBBPB,PPPPBB,BPBPB,BBBPBPPPPBBBPBPB
