before,dragon_rider,after,length,color
BPPBBB,PPPPPBBPPPPP,BPBBPB,10,P
BBBPBP,BBBBBBBBPBBBBBBB,PBPBBP,15,B
PBBPBB,PPPPPPBPPPPPPP,BPPBBB,13,P
BPBPPB,PPPPPBBPPPPP,BPBPPB,10,P
PBBBBP,BBBBBBBPBBBBB,PBBBPP,12,B
BBPBPB,PPPPPBBPPPPP,BPBPPP,10,P
BBPPPP,BBBBBBBBPBBBBB,PPBBBB,13,B
BPPPBP,BBBBBBPPBBBBB,PPBPPB,11,B
PBBPBP,BBBBBBBPBBBBBBB,PBBPBB,14,B
BBPBPB,PPPPPBBBPPPPPP,BPBBPP,11,P
PPBPPP,BBBBBPBBBBBB,PPPPBP,11,B
BPBPBB,PPPPPBPPPPP,BBPPBP,10,P
PPPBPB,PPPPPBBPPPPP,BBBPPP,10,P
PBBBPB,PPPPPPPBBPPPPP,BBPBBB,12,P
BPBBPB,PPPPPPBPPPPPP,BPBBPP,12,P
BBBPBP,BBBBBBBPBBBBB,PBPBBB,12,B
PPPPBP,BBBBBBPBBBBB,PPBPBP,11,B
PPPPPP,BBBBBBBPBBBBBBB,PPBBPP,14,B
BPPPBP,BBBBBPPPBBBBB,PBPPBB,10,B
BPPBBP,BBBBBBPBBBBB,PPBPBP,11,B
PPPPBP,BBBBBBBBPBBBBB,PBPPBB,13,B
BPPPBP,BBBBBBBPPBBBBB,PPBPPB,12,B
BPBPBB,PPPPPPBPPPPPP,BPBBBB,12,P
PBBBPB,PPPPPBBPPPPP,BPPPPP,10,P
BBBBPB,PPPPPBPPPPPPPPP,BPBBPP,14,P
PPPPBP,BBBBBBBBBBPPBBBBB,PPPBPB,15,B
BPBPPP,BBBBBBPBBBBBBBB,PBPBBB,14,B
BBPPPB,PPPPPBPPPPP,BBPPPB,10,P
PPBPBB,PPPPPBBPPPPPPP,BBPPPB,12,P
PPPPBB,PPPPPBBBPPPPPP,BPBPPP,11,P
BPBPBP,BBBBBPPBBBBB,PBPBPB,10,B
PPBBPB,PPPPPPPBPPPPPP,BPPBPP,13,P
BPBPBP,BBBBBPPBBBBBBB,PPPBBP,12,B
BBPPBP,BBBBBPBBBBBB,PPPBBB,11,B
BPPBPB,PPPPPBPPPPP,BPPPBB,10,P
BPPPPP,BBBBBPBBBBBB,PBPPPP,11,B
BBPBPP,BBBBBPBBBBB,PPBPPB,10,B
BPBBBB,PPPPPPBPPPPPPP,BPBBPB,13,P
PPPPPP,BBBBBBPPBBBBB,PBBPBP,11,B
BPBPPP,BBBBBPPBBBBBB,PPPPBP,11,B
BBPPPP,BBBBBBBBBBBPBBBBB,PBBBPP,16,B
PBPBBB,PPPPPPBPPPPP,BPBPBB,11,P
BPPBPP,BBBBBPBBBBBBB,PBPPPP,12,B
BBPPPP,BBBBBPBBBBBB,PPBPPB,11,B
BPPBBP,BBBBBPBBBBBBB,PBBPPP,12,B
PBBBPB,PPPPPPBBPPPPPPP,BBPPPB,13,P
BBPPPB,PPPPPPPBBPPPPP,BBPBPP,12,P
PBPBPB,PPPPPBPPPPP,BPBPPB,10,P
BBBPPB,PPPPPPPBPPPPPP,BBBBBP,13,P
PBBPBP,BBBBBPBBBBBB,PBBPPP,11,B
BBBPPB,PPPPPPBPPPPPPPP,BBPBBB,14,P
PPBBBP,BBBBBBBPPBBBBB,PBBPBP,12,B
BBBBPB,PPPPPPPBPPPPPPPP,BPPPPP,15,P
PBPPBB,PPPPPPBBPPPPP,BBBPBP,11,P
PPPBPP,BBBBBPBBBBB,PPPPBP,10,B
BPPPPP,BBBBBPBBBBBBB,PPBBBB,12,B
PPPPBP,BBBBBPBBBBBB,PBBBPB,11,B
PPBBBP,BBBBBPBBBBBB,PBBBPP,11,B
BPPBPP,BBBBBBBPBBBBBBB,PPPBBP,14,B
BBPBPP,BBBBBPPBBBBBB,PBPPPP,11,B
PBPPPB,PPPPPPBPPPPPPP,BBBPBP,13,P
PBBPBP,BBBBBBBPBBBBB,PPBBPB,12,B
PPBBPB,PPPPPBPPPPPP,BPPBPP,11,P
PBPPPB,PPPPPPBBPPPPPP,BPBPPP,12,P
BPBPBB,PPPPPPBBPPPPPPPP,BPBBPP,14,P
PPPBBP,BBBBBBPBBBBBBBB,PPBBBP,14,B
PBPPBP,BBBBBPBBBBB,PBBPPB,10,B
BBBPPP,BBBBBBPPPBBBBBBBB,PPPPBB,14,B
BPBBPP,BBBBBPPBBBBB,PPBBBP,10,B
BPBPBP,BBBBBBPPBBBBB,PBPBBB,11,B
PBBPBP,BBBBBPBBBBB,PBPPPB,10,B
BPBBPB,PPPPPBBPPPPPPPPP,BBBBPB,14,P
