before,pingpong_tie,after,length,tie_position
PPPPBP,BPBPT,PBBPPP,5,15
BBPPBP,PBPBT,BPPTPB,5,17
BBBBBP,BPBPT,PBPBPB,5,42
BPPPPB,BPBPT,BBPPPB,5,35
BBBPPP,BPBPT,PTPPBP,5,61
BBPPPP,PBPBT,TBPBBP,5,50
PPBPBB,BPBPT,BPBPPB,5,14
TPBBPB,BPBPT,BPPBPB,5,36
BBPBBP,PBPBT,BTBPPB,5,52
BBBBPT,BPBPT,BBTBBP,5,24
PPPPBP,BPBPT,TBPBBP,5,17
PPPBBP,PBPBT,BBBPPP,5,38
PPBBPB,BPBPT,BBBPBB,5,39
BPPPPB,BPBPT,PPPPBP,5,44
PPPBBP,PBPBT,BBBPBB,5,30
BPPTPB,PBPBT,PBBBTB,5,31
PBPPBP,BPBPT,BPBBPT,5,25
PBBBBT,BPBPT,PBPBBB,5,56
BPPPBT,TBTBT,PBBPPP,5,40
TBPBBP,BPBPT,BPTBBP,5,25
BPBBPP,PBPBT,PTPBTP,5,36
PPPBBT,BPBPT,PBBPPP,5,50
BPBPPT,BPBPT,PPTBBB,5,20
PBBBTP,TBTBT,BPTPBT,5,26
PTPBTP,PBPBT,PTPBBB,5,38
PBBPBB,BPBPT,PBBPBB,5,30
BPPPBP,BPBPT,PBPPTB,5,54
BBBPPP,BPBPT,BPPBBP,5,19
BBBPPP,BPBPT,BPPBBP,5,19
BPTPBP,BPBPT,PPBPTB,5,28
TPPPPB,PBPBT,BBPBBB,5,43
BPPBBB,PBPBT,BBBBTT,5,53
BPPBBB,PBPBT,PBBBPB,5,17
BBTPPP,PBPBT,TBBBPB,5,52
PBTPPB,BTBTT,BBBBPP,5,41
BBPPPB,PBPBT,BTBBBT,5,32
PPBBBB,PBPBT,BBBPBP,5,58
BPPPBB,BPBPT,PBBBTP,5,13
BBBTBB,PBPBT,TTBPBP,5,53
BPBTTT,BPBPT,TBBBTB,5,60
BPTTBB,PBPBT,PTPBPP,5,51
BTPPBP,PTPTT,PTPPBB,5,38
PPPBBB,PBPBT,PBBBBP,5,30
BPTBBP,PBPBT,BPBPBP,5,54
PPPBTP,BPBPT,BBPBPB,5,10
PPBPPB,BPBPT,PPPPBB,5,64
PTPPBB,PBPBT,BBPPPP,5,48
PBPPBB,PBPBT,BBTBBP,5,40
TPBBBP,PBPBT,BPPPBB,5,23
PBPPTB,BPBPT,PBBPPP,5,47
PBBBBP,PBPBT,PTPBPP,5,45
PBBBBB,PBPBT,PBPPPB,5,56
BTPBTB,PBPBT,PPPPBB,5,27
PPPBPB,BPBPT,PPBBBB,5,19
PPTTBB,PTPTT,TPBBBB,5,30
PBTPPB,PBPBT,PPBTBB,5,12
TBBBPB,PBPBT,TPPPPB,5,45
BPTPBT,BPBPT,BPPPPP,5,19
TPBTPP,BPBPT,PPPPPT,5,48
BPPBTB,TPTPT,PTBBPP,5,35
BPBBBB,BPBPT,BTPBBP,5,21
PPPPPT,BPBPT,PPBBBB,5,53
BBBBPB,PBPBT,BTBBPB,5,48
