before,bantai,after,pattern,direction
BBBBBP,BPPBBB,PBBBBP,1-2-3,ขึ้น
BBBBPB,PBBPPPPPPP,BPPPBB,1-2-7,ขึ้น
PPPPPB,PPPBBP,BPBPPP,3-2-1,ลง
BPBBBP,BPPPBBBB,PBPPPB,1-3-4,ขึ้น
BPBBPB,PBBBPPPP,BBBBPB,1-3-4,ขึ้น
PPPPPB,PBBPPP,BPBBBB,1-2-3,ขึ้น
BPPPBP,BBBBBPPB,PBBBPP,5-2-1,ลง
BBBPPB,PBBBPPPPPPPP,BPPBPB,1-3-8,ขึ้น
PPBPBB,PPBBBBPPPPP,BBBPPP,2-4-5,ขึ้น
BPPPPB,PBBPPPPPPPPP,BPBPPB,1-2-9,ขึ้น
BPBBBB,PBBBPPPP,BPBPBB,1-3-4,ขึ้น
BPBPBP,BBBBBBBBPPPPPPPBBB,PBPPPB,8-7-3,ลง
PBBBBB,PBBPPP,BBPBBB,1-2-3,ขึ้น
BPPBBB,PPPPPPBBP,BBBBBB,6-2-1,ลง
PPBPBP,BBBPPB,PBBPBB,3-2-1,ลง
BPPBPP,BPPBBBB,PPPBPB,1-2-4,ขึ้น
BPBPPP,BBBPPB,PBBPPP,3-2-1,ลง
BBBPPB,PBBPPP,BBBPPB,1-2-3,ขึ้น
BBBBPB,PPPPBBBP,BBPBPB,4-3-1,ลง
PBBBBP,BPPPBBBBB,PBPPBP,1-3-5,ขึ้น
PBBPPB,PPPPPBBBPP,BBPBBP,5-3-2,ลง
PPBBPB,PPPBBP,BBBBPB,3-2-1,ลง
BBBBBP,BBBBBPPB,PPPBBP,5-2-1,ลง
PPBBPP,BPPPBBBB,PBPPPB,1-3-4,ขึ้น
PBBBBP,BPPPBBBB,PBBBBB,1-3-4,ขึ้น
PBBPPB,PPPPPPPPPBBBP,BBBBPP,9-3-1,ลง
BPPPPP,BPPPBBBB,PBBBPP,1-3-4,ขึ้น
BPPPPB,PBBPPPPP,BBPPBB,1-2-5,ขึ้น
BBBBBP,BBBBBPPPPB,PPBBBB,5-4-1,ลง
PPPBPP,BBBBBBPPPPBBB,PBBBPB,6-4-3,ลง
PPBBPP,BPPBBB,PBBBPP,1-2-3,ขึ้น
PBBBPP,BBBPPB,PPBPBB,3-2-1,ลง
BBPBPB,PPPPBBP,BPBBBP,4-2-1,ลง
BPBBPB,PBBBPPPP,BBPBPB,1-3-4,ขึ้น
PPBBPP,BPPPBBBBB,PBBBBP,1-3-5,ขึ้น
BPPBPP,BPPBBBBBBB,PPBBPP,1-2-7,ขึ้น
PBBPBP,BPPBBB,PBBPBB,1-2-3,ขึ้น
PPPBPB,PBBBBPPPPPPP,BBPBBB,1-4-7,ขึ้น
PBBBPP,BPPPBBBB,PPPBBP,1-3-4,ขึ้น
PBPPBB,PBBPPP,BPPBPB,1-2-3,ขึ้น
PBBBBP,BBBPPB,PBPBPP,3-2-1,ลง
PBBPPB,PPPPPBBBBPP,BBPBBP,5-4-2,ลง
BBPPBB,PBBPPP,BBPPBP,1-2-3,ขึ้น
BPBBPP,BBBBBBPPB,PPPBPB,6-2-1,ลง
BBPPPB,PPPPPBBBPP,BBPBPP,5-3-2,ลง
BPPBBP,BPPBBBBB,PBPBBP,1-2-5,ขึ้น
BBPBPP,BBPPPBBBB,PPPBPB,2-3-4,ขึ้น
BPPPBB,PPPPPPBBP,BPPBPB,6-2-1,ลง
PBBPPB,PBBPPP,BPPBBB,1-2-3,ขึ้น
PPBPBB,PBBBPPPP,BBBPPB,1-3-4,ขึ้น
BBPPPB,PBBPPPPP,BPPPBB,1-2-5,ขึ้น
BPPPPP,BPPPBBBBB,PBPBBB,1-3-5,ขึ้น
PPBBBB,PBBPPP,BBBPBP,1-2-3,ขึ้น
PBPBBP,BPPBBB,PPBPPB,1-2-3,ขึ้น
PPPBPB,PPPPPBBBPP,BPBPPB,5-3-2,ลง
PBPPBB,PBBPPPPP,BBBBBB,1-2-5,ขึ้น
BPBPPB,PPPPBBP,BBBBBP,4-2-1,ลง
BBPBBB,PBBBBPPPPPPPP,BPPPBB,1-4-8,ขึ้น
BPPBBB,PPPBBP,BPBBPP,3-2-1,ลง
PPBBPB,PBBPPP,BBBBPP,1-2-3,ขึ้น
PBPBPP,BPPBBB,PBBPPB,1-2-3,ขึ้น
PPBPPP,BBBPPB,PBBPPB,3-2-1,ลง
BPBBPP,BPPPBBBB,PPBPBP,1-3-4,ขึ้น
PBPBPP,BPPBBBBBB,PBBPBB,1-2-6,ขึ้น
PBPPBP,BBBBPPB,PBPBBP,4-2-1,ลง
BPPBPB,PBBPPP,BPBBPP,1-2-3,ขึ้น
PBBBBB,PBBPPPPP,BBPBBB,1-2-5,ขึ้น
BPBBBB,PBBBPPPPP,BBPBBP,1-3-5,ขึ้น
BBBPBP,BPPPBBBBB,PBBPPB,1-3-5,ขึ้น
PPPBBP,BBBPPB,PPPPBP,3-2-1,ลง
PPPPBP,BPPPBBBBB,PPPBPP,1-3-5,ขึ้น
BBPPPP,BPPPBBBBB,PPPPPP,1-3-5,ขึ้น
PPPPPB,PBBBPPPPP,BBPBPB,1-3-5,ขึ้น
PBPPPP,BPPBBBBB,PPPPBB,1-2-5,ขึ้น
BBPPPP,BBBBBPPPBB,PBBPPB,5-3-2,ลง
PBPPBB,PBBPPPPP,BBBPBP,1-2-5,ขึ้น
BPBPBP,BBBBPPB,PBPPBP,4-2-1,ลง
BPBBBP,BBBBBPPB,PBBBBB,5-2-1,ลง
PPPBPB,PBBPPP,BPBPPB,1-2-3,ขึ้น
PPPPBP,BPPBBB,PBPBPB,1-2-3,ขึ้น
PPBBBB,PBBPPP,BBBBPP,1-2-3,ขึ้น
BPBBPB,PBBBBPPPPP,BPBPPP,1-4-5,ขึ้น
BPPPBB,PBBBPPPP,BBPPBP,1-3-4,ขึ้น
PPBBPP,BPPBBB,PPBBPP,1-2-3,ขึ้น
BBPBPP,BPPBBB,PBPPBP,1-2-3,ขึ้น
BPPBPB,PBBPPPP,BBBPPP,1-2-4,ขึ้น
PPPPPB,PBBBPPPP,BPPPPP,1-3-4,ขึ้น
BPPPPB,PPPPPBBBP,BBBBBB,5-3-1,ลง
PBPPPB,PBBPPP,BPBBPP,1-2-3,ขึ้น
BBPPPB,PBBPPP,BBPBBP,1-2-3,ขึ้น
PBBPPB,PBBPPP,BBPPPP,1-2-3,ขึ้น
